,time,rssi,label
1080,1578566271557,-76,leave
1081,1578566271666,-86,leave
1082,1578566271769,-79,leave
1083,1578566271875,-80,leave
1084,1578566271985,-86,leave
1085,1578566272097,-80,leave
1086,1578566272196,-85,leave
1087,1578566272300,-85,leave
1088,1578566272407,-93,leave
1089,1578566272514,-82,leave
1090,1578566272614,-86,leave
1091,1578566272854,-87,leave
1092,1578566273044,-80,leave
1093,1578566273145,-83,leave
1094,1578566273252,-94,leave
1095,1578566273361,-86,leave
1096,1578566273461,-98,leave
1097,1578566273568,-85,leave
1098,1578566273669,-76,leave
1099,1578566273775,-79,leave
1100,1578566273879,-84,leave
1101,1578566274109,-87,leave
1102,1578566274192,-89,leave
1103,1578566274296,-87,leave
1104,1578566274401,-86,leave
1105,1578566274511,-86,leave
1106,1578566274617,-82,leave
1107,1578566274723,-89,leave
1108,1578566274825,-87,leave
1109,1578566274934,-94,leave
1110,1578566275030,-86,leave
1111,1578566275133,-83,leave
1112,1578566275235,-83,leave
1113,1578566275476,-92,leave
1114,1578566275561,-88,leave
1115,1578566275661,-96,leave
1116,1578566275771,-94,leave
1117,1578566275882,-91,leave
1118,1578566275993,-89,leave
1119,1578566276099,-86,leave
1120,1578566276201,-82,leave
1121,1578566276301,-81,leave
1122,1578566276400,-80,leave
1123,1578566276508,-89,leave
1124,1578566276722,-93,leave
1125,1578566276807,-82,leave
1126,1578566276913,-84,far
1127,1578566277021,-86,far
1128,1578566277122,-86,far
1129,1578566277228,-80,far
1130,1578566277344,-80,far
1131,1578566277454,-82,far
1132,1578566277561,-81,far
1133,1578566277668,-85,far
1134,1578566277774,-84,far
1135,1578566277878,-84,far
1136,1578566277975,-85,far
1137,1578566278086,-84,far
1138,1578566278191,-86,far
1139,1578566278298,-90,far
1140,1578566278406,-89,far
1141,1578566278512,-89,far
1142,1578566278614,-89,far
1143,1578566278713,-88,far
1144,1578566278817,-88,far
1145,1578566279056,-82,far
1146,1578566279140,-82,far
1147,1578566279247,-94,far
1148,1578566279345,-83,far
1149,1578566279451,-90,approach
1150,1578566279552,-80,approach
1151,1578566279655,-93,approach
1152,1578566279766,-77,approach
1153,1578566279880,-82,approach
1154,1578566279983,-85,approach
1155,1578566280087,-81,approach
1156,1578566280195,-76,approach
1157,1578566280297,-77,approach
1158,1578566280400,-76,approach
1159,1578566280511,-74,approach
1160,1578566280618,-79,approach
1161,1578566280719,-85,approach
1162,1578566280826,-79,approach
1163,1578566280925,-80,approach
1164,1578566281026,-72,approach
1165,1578566281141,-74,approach
1166,1578566281240,-76,approach
1167,1578566281350,-76,approach
1168,1578566281461,-71,approach
1169,1578566281569,-72,approach
1170,1578566281803,-72,approach
1171,1578566281889,-72,approach
1172,1578566281991,-76,approach
1173,1578566282096,-87,approach
1174,1578566282203,-78,approach
1175,1578566282310,-74,approach
1176,1578566282416,-73,approach
1177,1578566282519,-76,approach
1178,1578566282619,-74,approach
1179,1578566282716,-70,approach
1180,1578566282827,-78,approach
1181,1578566282936,-71,approach
1182,1578566283039,-71,approach
1183,1578566283148,-71,approach
1184,1578566283250,-69,approach
1185,1578566283356,-71,approach
1186,1578566283461,-71,approach
1187,1578566283566,-73,approach
1188,1578566283668,-76,approach
1189,1578566283778,-66,approach
1190,1578566283881,-68,approach
1191,1578566283985,-65,approach
1192,1578566284086,-72,approach
1193,1578566284198,-76,approach
1194,1578566284295,-79,approach
1195,1578566284402,-71,approach
1196,1578566284503,-77,approach
1197,1578566284744,-67,approach
1198,1578566284824,-67,approach
1199,1578566284925,-67,approach
1200,1578566285036,-67,approach
1201,1578566285147,-79,approach
1202,1578566285249,-68,approach
1203,1578566285354,-67,approach
1204,1578566285457,-63,approach
1205,1578566285566,-67,approach
1206,1578566285669,-68,approach
1207,1578566285779,-77,approach
1208,1578566285884,-75,approach
1209,1578566285984,-75,approach
1210,1578566286091,-75,approach
1211,1578566286191,-75,approach
1212,1578566286290,-65,approach
1213,1578566286394,-74,approach
1214,1578566286502,-67,approach
1215,1578566286603,-67,approach
1216,1578566286714,-77,approach
1217,1578566286806,-75,approach
1218,1578566286909,-63,approach
1219,1578566287018,-63,approach
1220,1578566287127,-66,approach
1221,1578566287228,-64,approach
1222,1578566287329,-61,approach
1223,1578566287439,-60,approach
1224,1578566287550,-62,approach
1225,1578566287659,-64,approach
1226,1578566287766,-65,approach
1227,1578566287871,-64,approach
1228,1578566287970,-58,approach
1229,1578566288202,-62,approach
1230,1578566288282,-61,approach
1231,1578566288390,-60,approach
1232,1578566288499,-60,approach
1233,1578566288606,-62,approach
1234,1578566288715,-62,approach
1235,1578566288823,-60,approach
1236,1578566288928,-59,approach
1237,1578566289034,-67,approach
1238,1578566289138,-60,approach
1239,1578566289239,-56,approach
1240,1578566289449,-64,approach
1241,1578566289557,-56,approach
1242,1578566289660,-61,approach
1243,1578566289762,-71,near
1244,1578566289865,-64,near
1245,1578566289967,-68,near
1246,1578566290070,-58,near
1247,1578566290302,-52,near
1248,1578566290387,-51,near
1249,1578566290507,-50,near
1250,1578566290610,-50,near
1251,1578566290712,-50,near
1252,1578566290815,-50,near
1253,1578566290923,-50,near
1254,1578566291026,-50,near
1255,1578566291136,-50,near
1256,1578566291240,-50,near
1257,1578566291337,-50,near
1258,1578566291446,-50,near
1259,1578566291541,-56,near
1260,1578566291646,-56,leave
1261,1578566291754,-56,leave
1262,1578566291861,-60,leave
1263,1578566291970,-57,leave
1264,1578566292086,-52,leave
1265,1578566292187,-56,leave
1266,1578566292287,-55,leave
1267,1578566292390,-74,leave
1268,1578566292486,-61,leave
1269,1578566292588,-66,leave
1270,1578566292698,-71,leave
1271,1578566292804,-68,leave
1272,1578566292909,-71,leave
1273,1578566293018,-76,leave
1274,1578566293115,-69,leave
1275,1578566293223,-73,leave
1276,1578566293332,-66,leave
1277,1578566293440,-68,leave
1278,1578566293543,-68,leave
1279,1578566293652,-76,leave
1280,1578566293761,-78,leave
1281,1578566293862,-76,leave
1282,1578566293971,-91,leave
1283,1578566294071,-88,leave
1284,1578566294175,-72,leave
1285,1578566294281,-75,leave
1286,1578566294388,-71,leave
1287,1578566294496,-87,leave
1288,1578566294596,-74,leave
1289,1578566294707,-77,leave
1290,1578566294807,-73,leave
1291,1578566294907,-86,leave
1292,1578566295011,-77,leave
1293,1578566295121,-74,leave
1294,1578566295223,-89,leave
1295,1578566295324,-74,leave
1296,1578566295424,-86,leave
1297,1578566295524,-73,leave
1298,1578566295629,-74,leave
1299,1578566295737,-84,leave
1300,1578566295839,-81,leave
1301,1578566295945,-76,leave
1302,1578566296047,-81,leave
1303,1578566296151,-89,leave
1304,1578566296260,-76,leave
1305,1578566296363,-92,leave
1306,1578566296468,-85,leave
1307,1578566296570,-77,leave
1308,1578566296679,-75,leave
1309,1578566296781,-80,leave
1310,1578566296888,-92,leave
1311,1578566296995,-78,leave
1312,1578566297097,-91,leave
1313,1578566297197,-82,leave
1314,1578566297298,-90,leave
1315,1578566297408,-84,leave
1316,1578566297499,-77,leave
1317,1578566297612,-83,leave
1318,1578566297712,-80,leave
1319,1578566297820,-81,leave
1320,1578566297920,-80,leave
1321,1578566298025,-84,leave
1322,1578566298142,-84,leave
1323,1578566298245,-86,leave
1324,1578566298358,-83,leave
